StockCode,Description,Avg_Daily_Demand,Std_Daily_Demand,Safety_Stock,Reorder_Point_ROP,Target_Inventory_45D,Suggested_PO_Qty
15036,ASSORTED COLOURS SILK FAN,122.2122905,256.119507,1336,2558,5500,4164
16014,SMALL CHINESE STYLE SCISSOR,272,635.7414962,3317,6037,12240,8923
17003,BROCADE RING PURSE ,162.858156,270.6090375,1412,3041,7329,5917
20668,DISCO BALL CHRISTMAS DECORATION,118.8224299,166.8138615,870,2058,5347,4477
20724,RED RETROSPOT CHARLOTTE BAG,47.79477612,57.13574456,298,776,2151,1853
20725,LUNCH BAG RED RETROSPOT,59.58585859,59.59729895,311,907,2681,2370
20725,LUNCH BAG RED SPOTTY,200,,,,9000,
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,44.45126354,48.57612404,253,698,2000,1747
21175,GIN + TONIC DIET METAL SIGN,45.3503937,184.3691071,962,1416,2041,1079
21175,GIN AND TONIC DIET METAL SIGN,39.5,48.8606553,255,650,1778,1523
21212,PACK OF 72 RETROSPOT CAKE CASES,116.5847751,185.7824124,969,2135,5246,4277
21213,PACK OF 72 SKULL CAKE CASES,59.12809917,109.1380988,569,1160,2661,2092
21731,RED TOADSTOOL LED NIGHT LIGHT,55.24034335,89.39346725,466,1018,2486,2020
21790,VINTAGE SNAP CARDS,50.90076336,66.92969434,349,858,2291,1942
21915,RED  HARMONICA IN BOX ,89.25531915,230.4630111,1203,2096,4016,2813
21975,PACK OF 60 DINOSAUR CAKE CASES,50.14049587,101.0579149,527,1028,2256,1729
21977,PACK OF 60 PINK PAISLEY CAKE CASES,92.25855513,214.0127022,1117,2040,4152,3035
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,109.9788732,137.5558413,718,1818,4949,4231
22151,PLACE SETTING WHITE HEART,83.11173184,146.0682034,762,1593,3740,2978
22178,VICTORIAN GLASS HANGING T-LIGHT,80.6942446,108.1972562,565,1372,3631,3066
22197,POPCORN HOLDER,207.590604,376.0168019,1962,4038,9342,7380
22197,SMALL POPCORN HOLDER,125.8758621,379.1195554,1978,3237,5664,3686
22386,JUMBO BAG PINK POLKADOT,72.01785714,107.8581458,563,1283,3241,2678
22423,REGENCY CAKESTAND 3 TIER,41.37333333,44.49208665,232,646,1862,1630
22469,HEART OF WICKER SMALL,68.75,141.089496,736,1424,3094,2358
22492,MINI PAINT SET VINTAGE ,130.38,205.290542,1071,2375,5867,4796
22616,PACK OF 12 LONDON TISSUES ,120.6904762,239.7688768,1251,2458,5431,4180
22629,SPACEBOY LUNCH BOX ,51.36162362,82.78389003,432,946,2311,1879
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,104.1830065,310.63353,1621,2663,4688,3067
22952,60 CAKE CASES VINTAGE CHRISTMAS,112.480916,133.5702265,697,1822,5062,4365
22952,72 CAKE CASES VINTAGE CHRISTMAS,24,,,,1080,
22961,JAM MAKING SET PRINTED,55.96654275,74.03938794,386,946,2518,2132
22969,HOMEMADE JAM SCENTED CANDLES,48.95546559,116.2098696,606,1096,2203,1597
23084,RABBIT NIGHT LIGHT,289.3829787,468.2420362,2443,5337,13022,10579
23166,MEDIUM CERAMIC TOP STORAGE JAR,677.5304348,6917.726161,36095,42870,30489,-5606
23199,JUMBO BAG APPLES,71.21538462,109.1409982,569,1281,3205,2636
23201,JUMBO BAG ALPHABET,63.65482234,87.64389125,457,1094,2864,2407
23203,JUMBO BAG DOILEY PATTERNS,96.01098901,113.1208296,590,1550,4320,3730
23203,JUMBO BAG VINTAGE DOILEY ,71.5,44.54772721,232,947,3218,2986
23203,JUMBO BAG VINTAGE DOILY ,98.48148148,106.450768,555,1540,4432,3877
23209,LUNCH BAG DOILEY PATTERN ,74.50574713,73.63026324,384,1129,3353,2969
23209,LUNCH BAG VINTAGE DOILEY ,35,35.35533906,184,534,1575,1391
23209,LUNCH BAG VINTAGE DOILY ,60.86792453,55.89532317,292,901,2739,2447
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,,,,3644775,
47566,PARTY BUNTING,53.29268293,61.4004799,320,853,2398,2078
71459,HANGING JAM JAR T-LIGHT HOLDER,69.26315789,70.16439889,366,1059,3117,2751
71459,HANGING JAM JAR T-LIGHT HOLDERS,48.26,61.99631655,323,806,2172,1849
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,241.8444444,487.2864897,2543,4961,10883,8340
84568,GIRLS ALPHABET IRON ON PATCHES ,567.2727273,681.988841,3558,9231,25527,21969
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,66.71367521,71.98622353,376,1043,3002,2626
84826,ASSTD DESIGN 3D PAPER STICKERS,570.9166667,2549.995941,13305,19014,25691,12386
84879,ASSORTED COLOUR BIRD ORNAMENT,118.2675585,226.7321143,1183,2366,5322,4139
84946,ANTIQUE SILVER T-LIGHT GLASS,68.27894737,68.01611293,355,1038,3073,2718
84946,ANTIQUE SILVER TEA GLASS ETCHED,50.72463768,55.48870687,290,797,2283,1993
84991,60 TEATIME FAIRY CAKE CASES,70.47410359,113.4155647,592,1297,3171,2579
84992,72 SWEETHEART FAIRY CAKE CASES,57.07423581,127.5669026,666,1237,2568,1902
